"000","[[20.273,20.092,20.126,20.213,20.253,19.966,20.340,20.196,20.004,20.258,20.140,20.151,20.282,20.149,20.126,20.411,20.280,20.128,20.226,20.233]]","[[-3.654,23.126,-5.167,3.030,-22.999,10.253,-4.277,13.519,12.777,-20.552,-8.894,-7.313,-9.389,-21.061,-5.086,-25.654,-23.697,-2.353,-18.890,-7.853]]","[[0.0493150,0.0496520,0.0497930,0.0494560,0.0493530,0.0501840,0.0492210,0.0495570,0.0499890,0.0493690,0.0496800,0.0497620,0.0494480,0.0496960,0.0497650,0.0490890,0.0493310,0.0497790,0.0494320,0.0493580]]","[[0.208223,-0.854024,-0.091286,-0.202761,1.134030,-0.846446,-0.057428,-0.970772,-0.762057,1.009320,0.383089,-0.017678,-0.105487,0.784092,-0.121647,0.986143,1.055130,-0.193583,0.894706,0.414614]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb000.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"001","[[20.308,20.251,20.227,20.440,20.537,20.337,20.340,20.195,20.164,20.311,20.230,20.401,20.433,20.187,20.268,20.225,20.166,20.391,20.157,20.281]]","[[-25.236,-8.262,-8.223,-29.683,-54.066,-31.062,-22.776,-4.441,13.752,-29.871,-0.200,-38.189,-28.403,-6.998,-4.196,-12.683,-6.780,-33.690,3.733,-27.740]]","[[0.0491110,0.0493910,0.0496140,0.0488780,0.0487540,0.0492020,0.0492880,0.0495840,0.0496410,0.0493940,0.0494640,0.0491030,0.0489820,0.0495700,0.0493100,0.0494230,0.0496000,0.0490330,0.0496310,0.0492690]]","[[1.428030,0.332558,-0.121840,1.501120,2.383540,1.468950,0.744793,-0.127812,-0.766686,1.024640,-0.107171,1.558720,1.334490,0.320548,0.177520,0.527180,0.277219,1.547270,-0.202935,1.307290]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.0,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb001.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"002","[[20.094,20.083,20.380,20.382,20.069,20.269,20.320,20.247,20.157,20.464,20.303,20.141,20.502,20.081,20.286,20.354,20.423,20.203,20.267,20.361]]","[[4.263,14.539,-34.584,-31.038,-12.414,-5.514,-9.057,-21.378,-6.301,-41.960,-23.224,7.141,-34.459,11.158,-27.026,-39.040,-46.565,-16.905,-27.037,-32.112]]","[[0.0498230,0.0497950,0.0492070,0.0492040,0.0499030,0.0494230,0.0492420,0.0494510,0.0496550,0.0490200,0.0494230,0.0495840,0.0490140,0.0497510,0.0493260,0.0491400,0.0490490,0.0495870,0.0494700,0.0491800]]","[[-0.364261,-0.767958,1.268450,1.031650,0.374843,-0.159812,0.326098,0.928579,0.129654,1.666670,0.724882,-0.326140,1.047810,-0.497506,1.256160,1.916470,2.061150,0.462813,0.997093,1.459010]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb002.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"003","[[20.299,20.276,20.354,20.194,20.128,20.366,20.249,20.309,20.311,20.318,20.445,20.369,20.323,20.192,20.495,20.268,20.378,20.274,20.316,20.197]]","[[-26.351,-17.657,-21.630,1.296,8.368,-22.446,-17.531,-15.369,-23.308,-25.191,-46.505,-36.856,-18.534,-6.480,-43.010,-20.341,-32.288,-10.767,-6.628,2.016]]","[[0.0493690,0.0492910,0.0491720,0.0494860,0.0497430,0.0491000,0.0493690,0.0492770,0.0493290,0.0492450,0.0490620,0.0491320,0.0493370,0.0495840,0.0488600,0.0493770,0.0491430,0.0494040,0.0492800,0.0495840]]","[[1.004390,0.784823,0.896576,-0.083022,-0.658267,1.047460,0.861216,0.614322,0.876948,1.203210,1.716110,1.634460,0.479107,0.120097,1.921820,0.848188,1.469900,0.261290,0.225592,-0.326158]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb003.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"004","[[20.314,20.175,20.318,20.190,20.004,20.288,20.190,20.317,20.583,20.206,20.431,20.392,20.411,20.620,20.185,20.286,20.354,20.241,20.098,20.375]]","[[-24.198,-10.149,-31.231,3.942,21.164,-13.384,-4.434,-22.236,-40.164,-27.492,-24.555,-33.554,-21.970,-50.457,11.568,-15.020,-53.450,-8.414,0.944,-33.233]]","[[0.0492640,0.0495920,0.0492880,0.0495840,0.0500280,0.0493420,0.0495490,0.0493040,0.0486750,0.0496170,0.0490060,0.0491000,0.0490200,0.0485670,0.0494590,0.0492910,0.0491450,0.0495900,0.0498530,0.0491030]]","[[0.921784,0.454045,1.237680,-0.127808,-1.245150,0.509871,0.127727,0.856811,1.579780,0.905783,1.026410,1.489360,1.029410,2.243820,-0.434681,0.592579,2.497680,-0.235823,-0.463074,1.558740]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb004.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"005","[[19.965,20.387,20.195,20.418,20.276,20.055,20.350,20.201,20.330,20.245,20.349,20.230,20.105,20.453,20.394,20.606,20.136,20.126,20.347,20.274]]","[[7.199,-17.576,4.314,-16.157,-11.640,-6.786,-26.188,-13.714,-34.619,-5.092,-30.945,-13.404,12.334,-25.983,-30.568,-69.791,2.193,2.607,-22.651,-30.074]]","[[0.0502200,0.0491210,0.0495400,0.0490540,0.0493690,0.0498060,0.0492100,0.0495790,0.0492230,0.0494800,0.0491780,0.0494100,0.0496960,0.0489420,0.0491080,0.0486780,0.0497130,0.0497180,0.0491940,0.0493910]]","[[-0.799628,0.639673,-0.418909,0.605549,0.318149,0.359702,0.968877,0.594945,1.587180,-0.059375,1.271520,0.672528,-0.567642,1.149060,1.329190,2.894700,-0.335851,-0.285052,0.945623,1.320380]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb005.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"006","[[20.244,20.107,20.130,20.330,20.231,20.190,20.309,20.385,20.073,20.381,20.297,20.570,20.178,20.401,20.420,20.307,19.968,20.323,20.321,20.389]]","[[-13.952,15.265,9.361,-13.101,-16.278,-9.693,-17.382,-28.942,4.901,-13.692,-14.239,-61.901,-7.697,-40.135,-31.384,-8.209,12.578,-24.197,-30.533,-40.855]]","[[0.0495050,0.0497510,0.0497260,0.0492340,0.0493770,0.0495810,0.0492960,0.0490650,0.0498230,0.0491270,0.0492610,0.0487540,0.0496690,0.0491000,0.0490360,0.0492420,0.0500970,0.0492750,0.0492340,0.0490540]]","[[0.346535,-0.751236,-0.805570,0.486882,0.932132,0.149291,0.682475,1.432150,-0.394154,0.513098,0.738919,2.739440,-0.165573,1.783960,1.361580,0.473814,-0.681884,0.963596,1.323860,1.988870]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb006.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"007","[[20.166,20.046,20.437,20.393,20.170,20.188,20.174,20.135,20.016,20.140,20.439,20.473,20.354,20.081,20.007,20.211,20.218,20.378,20.284,20.393]]","[[0.164,8.782,-29.330,-31.186,7.681,-15.037,-0.353,-3.545,24.099,2.391,-30.484,-46.247,-30.109,-4.583,25.511,-12.228,-34.769,-37.695,-28.480,-34.004]]","[[0.0496200,0.0499140,0.0490200,0.0490650,0.0495730,0.0495680,0.0496390,0.0496060,0.0499720,0.0496740,0.0489930,0.0489130,0.0491700,0.0498500,0.0499920,0.0495870,0.0495570,0.0491290,0.0493690,0.0490970]]","[[-0.140586,-0.611162,1.225480,1.299680,-0.506753,0.513304,-0.260886,0.233701,-1.254860,-0.234021,1.170380,2.032610,1.495850,0.089731,-1.321440,0.264461,1.358400,1.638730,1.058700,1.542760]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb007.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"008","[[20.218,20.420,20.231,20.552,20.267,20.251,20.021,20.408,20.053,20.359,20.024,20.502,20.300,20.274,20.371,20.204,20.218,20.397,20.273,20.273]]","[[-7.229,-40.243,-12.453,-50.793,-28.384,-20.675,21.543,-33.914,15.555,-29.550,-7.590,-59.631,-12.582,-15.493,-33.462,-12.280,-27.759,-38.007,-15.862,-15.862]]","[[0.0495620,0.0490200,0.0494180,0.0488070,0.0493690,0.0494320,0.0499720,0.0491700,0.0498810,0.0491130,0.0500280,0.0488120,0.0493850,0.0493940,0.0491270,0.0495020,0.0494800,0.0490460,0.4936810,0.0621120]]","[[0.006596,1.764710,0.684171,2.206610,1.354900,0.810665,-1.104940,1.181160,-0.916692,1.330410,0.155645,2.769280,0.183284,0.580093,1.544750,0.553873,1.128160,1.771120,0.617098,0.434781]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb008.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
"009","[[20.216,20.221,20.138,20.076,20.256,20.152,20.314,20.297,20.365,20.185,20.121,20.433,20.447,20.383,20.419,20.085,20.174,20.384,20.273,20.273]]","[[-9.821,2.547,-1.045,5.823,-4.459,-19.436,-24.041,-22.179,-24.216,-15.434,-5.613,-30.677,-41.099,-23.502,-62.897,-8.663,-1.390,-21.142,-15.862,-15.862]]","[[0.0495050,0.0495490,0.0497570,0.0498370,0.0492990,0.0497570,0.0493690,0.0493420,0.0491540,0.0495020,0.0497240,0.0490140,0.0489740,0.0491210,0.0490680,0.0498280,0.0496110,0.0491270,0.4936810,0.0620690]]","[[0.252478,-0.248843,-0.192940,-0.441328,0.328104,0.588240,0.811841,0.904613,0.961222,0.836048,0.093920,1.283080,1.837080,0.924571,2.669280,0.319458,-0.072759,0.758730,0.617098,0.675861]]","[[0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276,0.6276]]","[[2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773,2.09773]]","[[-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098,-0.06098]]","[[94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6]]","from config/mzb_20260213/mzb009.config","pgirotti","Wed Apr  1 06:46:11 2026 CDT"
